Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
BC Timber Sales Branch ,Prince George ,SU24TGC002 - Silviculture Surveys,SU24TGC002,Invitation to Tender,2023-03-22,0,2023-04-12,Wright Canada Holdings Ltd. O/A Spectrum Resource Group,,"$139,640.00",2023-05-02
BC Timber Sales Branch ,Prince George ,EN24TGF013 - Walker POB Road Maintenance,EN24TGF013,Invitation to Tender,2023-05-03,0,2023-05-17,Specialized Forest Management Inc.,", Dunster, British Columbia","$160,282.70",2023-06-08
BC Timber Sales Branch ,Prince George ,SP24TGE002 - Road Rehabilitation and Deactivation Work in Mackenzie Forest District,SP24TGE002,Invitation to Tender,2023-04-25,1,2023-05-25,Yus Cho Enterprises,"PO BOX  1771, Fort Saint James , British Columbia","$118,347.60",2023-06-01
BC Timber Sales Branch ,Prince George ,EN24TGF005 - Chichouyenily Road Upgrade,EN24TGF005,Invitation to Tender,2023-03-16,0,2023-04-13,Nahanni Construction Ltd,"7840 hwy 16 west, Prince George, British Columbia","$242,090.00",2023-04-27
BC Timber Sales Branch ,Prince George ,BR24TGE004 - Manual Brushing in the Mackenzie District,BR24TGE004,Invitation to Tender,2023-03-21,1,2023-04-20,Mihis Silviculture Contracting,"2363 Sadler Drive, Prince George , British Columbia","$748,544.00",2023-04-28
BC Timber Sales Branch ,Prince George ,BR24TGE003 - Manual Brushing in the Mackenzie District,BR24TGE003,Invitation to Tender,2023-03-17,1,2023-04-18,Rhino Reforestation Services Inc,"1209 FOURTH AVENUE, PRINCE GEORGE, British Columbia","$302,545.84",2023-04-27
BC Timber Sales Branch ,Prince George ,EN24TGF006 - Road Sign Installation and Grass Seeding,EN24TGF006,Invitation to Tender,2023-02-23,0,2023-03-23,Mackenzie Forestry Services,"11210 HWY 39, Mackenzie, British Columbia","$18,000.00",2023-04-13
BC Timber Sales Branch ,Prince George ,EN24TGF009 - Hominka Bridge Installations and Road Maintenance,EN24TGF009,Invitation to Tender,2023-02-14,1,2023-03-14,Nahanni Construction Ltd,"7840 hwy 16 west, Prince George, British Columbia","$305,670.00",2023-04-03
BC Timber Sales Branch ,Prince George ,EN24TGF011 - Bridge Repairs,EN24TGF011,Invitation to Tender,2023-05-11,0,2023-06-01,Stinger Welding Ltd,,"$52,250.00",2023-06-05
BC Timber Sales Branch ,Prince George ,PD24TGB001 - Reconnaissance Survey for Planned Blocks and Roads – Prince George Natural Resource District,PD24TGB001,Invitation to Tender,2023-05-08,0,2023-06-06,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$73,800.00",2023-06-13
Procurement Services Branch ,,Natural Resource Officer Uniforms,9031,Request for Standing Arrangement,2023-01-06,2,2023-02-15,Joint Force Tactical ,,"$125,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,ASHO Projects,"202 24th STREET WEST
NORTH VANCOUVER, BC 
V7M 2C4","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,Associated Engineering (B.C.) Ltd.,"#500 - 2889 East 12th Avenue
Vancouver, BC
 V5M 4T5 ","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,BGC Engineering,"500-980 Howe Street
Vancouver, BC, V6Z 0C8","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,DWB Consulting Services Ltd.,"1579 9 Avenue
Prince George, BC
V2L 3R8","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,KWL,"200-4185 Still Creek Drive
Burnaby, BC 
V5C 6G9","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,MCELHANNEY LTD,"200 – 858 Beatty Street
Vancouver BC Canada
V6B 1C1","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,RAM,"700-409 Granville Street, Vancouver BC","$250,000.00",2023-04-12
Procurement Services Branch ,,Flood and Debris Management Consulting Services,156666,Request for Standing Arrangement,2023-03-01,0,2023-03-28,WSP Canada Inc.,"Suite 1000, 840 Howe Street 
Vancouver, British Columbia, 
V6Z 2M1 Canada","$250,000.00",2023-04-12
