Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Supply, Installation and Delivery of Yamaha Engine (Salmon Arm",ITQ-005978,Itq,2019/09/09,0,2019/09/17,Nautechs International Ltd.,Salmon Arm,"$14,084.67",2019/09/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Water Sampling Soo Area,CS20LMN003,ITT,2019/09/09,0,2019/09/23,Polar Geoscience Ltd.,Squamish,"$9,135.00",2019/10/04,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Water Management Plan to Water Sustainability Plan Transition,GS20LMN0021,SRFP,2019/09/09,1,2019/09/13,Hydro Geo Logic,Victoria,"$23,500.00",2019/10/04,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bulkley TSA 2019 Wildfire Surveys A,SU20DSS002,ITT,2019/09/09,0,2019/09/20,Forsite Consultants Ltd.,Victoria,"$52,487.50",2019/09/27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bulkley TSA 2019 Wildfire SSS Surveys B,SU20DSS003,ITT,2019/09/09,0,2019/09/20,Forsite Consultants Ltd,Victoria,"$29,391.50",2019/09/27,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Ungulate Guards (Merritt),ITQ-005974,Itq,2019/09/10,1,2019/09/12,McGrath Contracting LTD,Campbell River,"$218,554.01",2019/09/23,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Champion Lakes Park Fuel Management Project Treatment Unit 1,GS20NLE105,RFP,2019/09/10,2,2019/09/19,Atco Wood Products Ltd.,Fruitvale,"$95,000.00",2019/09/30,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Lower Mainland Service Area Thermoplastic, Roadway Markings",10767,ITQ,2019/09/10,2,2019/09/13,Scottish Line Painting Ltd.,Port Coquitlam,"$50,000.00",2019/09/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",WEST QUESNEL PRIMARY FUEL BREAK/MILBURN MTN,CS20DQU003,ITT,2019/09/10,3,2019/09/12,Central Interior Mapping Co. Ltd.,Quesnel,"$52,621.50",2019/09/16,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Ridged Hull Inflatable Boat (Black Creek),ITQ-005977,Itq,2019/09/10,1,2019/09/13,Titan Boats Ltd,Sidney,"$380,390.35",2019/11/06,British Columbia,Canada
Ministry of Attorney General,Ministry of Attorney General,Fall 2019/Spring 2020 Justice Summit delivery & MAG proj support,JSB-09-2019,NOI,2019/09/11,0,2019/09/27,N/A,,$0.00,2019/10/23,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Crown Land Risk Assessment - Forfeiture and Abandoned Tenures,GS20932-005,ITT,2019/09/11,0,2019/09/26,Hemmera Envirochem inc.,Burnaby,"$30,000.00",2019/09/26,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,100kg Rip Rap (Hornby Island),ITQ-005979,Itq,2019/09/11,0,2019/09/17,Upland Contracting Ltd.,Campbell River,"$109,271.14",2019/09/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LachmacFSR ReConstruction,EN20PGN347,ITT,2019/09/11,1,2019/09/25,Wilson Bros. Enterprises Ltd.,Houston,"$76,660.00",2019/10/02,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Tranquille Rd Gravel Crushing and Surfacing,24702MJ0000,MOTITT,2019/09/11,0,2019/09/25,Infracon Construction Inc.,Merritt,"$450,577.00",2019/10/07,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Tranquille Rd Gravel Crushing and Surfacing,24702MJ0000,MOTITT,2019/09/11,0,2019/09/25,Infracon Construction Inc.,Merritt,"$450,577.00",2019/10/07,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Traffic Control Services,Hornby Island,Vancouver Island District",16755,ITQ,2019/09/11,0,2019/09/23,KMF Traffic Solutions Ltd.,Nanaimo,"$50,000.00",2019/09/26,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,IS20IIT061ITQ QA TESTER,IS20IIT061ITQ,ITQ,2019/09/11,3,2019/09/13,Optimal Computing International Inc.,Victoria,"$25,000.00",2019/09/30,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,French Beach– Pit Toilet Replacement and Associated Works,ITQ CP20NAN010,ITQ,2019/09/11,3,2019/09/12,RLC Enterprize Ltd.,Victoria,"$67,373.00",2019/09/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tree Planting - Hanceville-Riske Creek Fire,PL21ZAN002,ITT,2019/09/11,2,2019/10/03,Dynamic Reforestation Ltd,Williams Lake,"$722,560.00",2019/10/15,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Trimble R8S Devices (Coquitlam),ITQ-005980,Itq,2019/09/12,0,2019/09/20,Cansel Survey Equipment Inc.,Burnaby,"$117,641.33",2019/09/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SPRUCE BEETLE GROUND SURVEYS IN THE PEACE DISTRICT,FH208240006-A,ITT,2019/09/12,0,2019/09/23,Nazca Consulting Ltd.,Nelson,"$114,000.00",2019/09/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SPRUCE BEETLE GROUND SURVEYS IN THE MACKENZIE REGIONAL DISTRICT,FH208240007-A,ITT,2019/09/12,2,2019/09/23,Nazca Consulting Ltd.,Nelson,"$73,700.00",2019/09/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Search and Destroy Mountain Pine Beetle,FH20DND008,ITT,2019/09/13,0,2019/10/22,Specialized Forest Management,Dunster,"$100,000.00",2019/10/22,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Toquaht Log Sort DSI,RFPCCSP2020-08,RFP,2019/09/13,2,2019/09/19,Core6 Environmental Ltd.,Vancouver,"$98,600.00",2019/10/17,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Traffic Control Services, Crofton BC, Vancouver Island Dist",16644,ITQ,2019/09/13,2,2019/09/24,Western Traffic Ltd.,Victoria,"$50,000.00",2019/09/27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Winter Road Maintenance,EN20LMN302,ITT,2019/09/16,0,2019/10/01,N/A,,$0.00,2019/11/13,,
Ministry of Children and Family Development,Ministry of Children and Family Development,Supported Visitation,10825,NOI,2019/09/16,0,2019/09/27,Langley Community Services Society,Langley,"$72,000.00",2019/10/01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Realignment at 454km on the Teardrop FSR,EN20PGN326,ITT,2019/09/16,2,2019/09/18,Frost Lake Logging,Prince George,"$179,020.00",2019/09/18,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Skeena Map Reserve Review Project,SMRRP01,SRFP,2019/09/16,1,2019/10/11,Guiseppina Love,Smithers,"$49,500.00",2019/10/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Coast Waste Implementation Project - Compton Creek,1070-20/GMA20TPB004,ITT,2019/09/17,0,2019/10/04,N/A,,$0.00,2019/11/14,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Coast Waste Implementation Project - Sechelt,1070-20/GMA20TPB006,ITT,2019/09/17,1,2019/10/04,N/A,,$0.00,2019/11/14,,
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Kokanee Creek Boardwalk Interpretive Sign Mounts,ENV20-BCP-016,ITT,2019/09/17,1,2019/09/30,McGrath Contracting Ltd.,Campbell River,"$41,085.10",2019/10/09,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cumulative Effects Hazard Calculator Tool,GS20KBR002/1070-20,RFP,2019/09/17,2,2019/09/20,ALCES Landscape and Land-use Ltd,Duncan,"$19,200.00",2019/10/07,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Spruce Beetle Ground Surveys in the PG Forest District,FH20DPG512,ITT,2019/09/17,0,2019/10/02,Spectrum Resource Group Inc.,Prince George,"$71,320.00",2019/10/17,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,10GBASE-SR SFP Modules (Victoria),ITQ-005981,Itq,2019/09/17,0,2019/09/25,Elco Systems Inc.,Richmond,"$8,763.78",2019/10/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Goshawk Stabilization Partial Cut Forester Support,GS20RSK026MY,RFP,2019/09/17,0,2019/10/01,Westland Resources Ltd,Terrace,"$25,000.00",2019/11/04,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H29 Cache Creek East Embankment,37249MJ0004,MOTITT,2019/09/18,2,2019/09/26,Brocor Construction Ltd.,Dawson Creek,"$7,518,249.75",2019/10/21,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,BC Parks Type 1 Picnic Table Boards (Quesnel),ITQ-005983,Itq,2019/09/18,0,2019/09/26,Ennadai Woodworks Inc,Golden,"$15,536.64",2019/10/04,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway No. 29 Halfway River,37366MJ0000,MOTITT,2019/09/18,8,2019/09/20,"Eiffage –Infracon Halfway River JV, a joint venture comprised of",Nisku,"$104,569,326.00",2019/10/16,Alberta,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Stand Structure and Douglas-fir Bark Beetle Probing Surveys,FH20DPG511,ITT,2019/09/18,0,2019/10/02,Spectrum Resource Group Inc.,Prince George,"$22,515.00",2019/10/17,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate in Stockpile - Mahood Lake Pit No. 2782 ,24989MN0000,MOTITT,2019/09/19,0,2019/10/03,Barsi Enterprises Ltd.,Kamloops,"$137,000.00",2019/10/09,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate in Stockpile - Mahood Lake Pit No. 2782 ,24989MN0000,MOTITT,2019/09/19,0,2019/10/03,Barsi Enterprises Ltd.,Kamloops,"$137,000.00",2019/10/09,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,"SRFP - Real Estate Brokerage Services, Duncan B.C.",RPD10847,SRFP,2019/09/20,0,2019/10/04,N/A,,$0.00,2019/10/29,,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Alaska Hwy 97 South Taylor Hill Pilot Stabilization,37708MJ0000,MOTITT,2019/09/20,2,2019/10/01,Greenfield Construction Ltd.,Strathmore,"$6,552,742.70",2019/10/15,Alberta,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Fintry Provincial Park - Tree Planting & Irrigation,2930101 - PLANTING,ITT,2019/09/21,0,2019/10/08,Bear Paw Earthworks Ltd,Coldstream,"$271,679.42",2019/10/16,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Type 1 Concrete Picnic Table Base Sets (Quesnel),ITQ-005987,Itq,2019/09/23,0,2019/10/01,Ken MacKay & Son Concrete Forming Ltd,Nanaimo,"$18,726.40",2019/10/08,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Geotechnical Drilling and Instrumentation Installation,354CS1104,RFP,2019/09/24,1,2019/10/04,Westech Drilling Corp.,Prince George,"$600,000.00",2019/10/18,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Rip Rap and SGSB (Prince George),ITQ-005990,Itq,2019/09/24,1,2019/10/02,Kode Contracting Ltd,Prince George,"$65,318.40",2019/10/07,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Invitation To Quote - North Sunshine Coast,BCP2019-02,ITQ,2019/09/25,5,2019/10/01,McGrath Contracting Ltd,Campbell River,"$134,925.00",2019/11/01,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Mount Fernie Park- Stove Creek Pedestrian Creek Bridge,ENV20-BCP-013,ITT,2019/09/25,2,2019/09/30,McGrath Contracting Ltd.,Campbell River,"$87,000.00",2019/10/09,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,4 Plastic Wood Toilet Buildings (Quesnel),ITQ-005991,Itq,2019/09/25,0,2019/10/09,Wishbone Industries Ltd,Langley,"$31,709.44",2019/10/15,British Columbia,Canada
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Mobile Radiation Barrier with Window (Prince George),ITQ-005982,Itq,2019/09/25,1,2019/09/27,Lakshvin Healthcare Incorporated,Langley,"$6,160.00",2019/10/04,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Mount Fernie Provincial Park – Campground Expansion Phase 2,ENV20-BCP-014,ITT,2019/09/25,2,2019/09/30,Gally Equipment Services Ltd.,Moyie,"$544,094.00",2019/10/08,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Aluminum Snowmobile Trailer (Brackendale),ITQ-005989,Itq,2019/09/26,1,2019/09/30,Express Custom Trailer Manufacturing Inc,Parksville,"$13,924.28",2019/10/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Roberts Creek Study Forest,RE20NAN418,DirectAward,2019/09/26,0,2019/10/07,Brian Danjou,Victoria,"$7,500.00",2019/11/01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Roberts Creek Study Forest,RE20NAN418,DirectAward,2019/09/26,0,2019/10/07,Brian Danjou Forest Services,Victoria,"$7,500.00",2019/10/24,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,All Terrain Vehicle - Utility Side by Side (Kamloops),ITQ-005992,Itq,2019/09/27,0,2019/10/07,Spectra Power Sports Ltd,Williams Lake,"$22,458.24",2019/10/10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tree Planting - Hanceville-Riske Creek Fire,PL21ZAN001,ITT,2019/09/30,4,2019/10/03,Brinkman Reforestation,New Westminster,"$722,560.00",2019/10/15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tree Planting - Nazko Area,PL21ZAN003,ITT,2019/09/30,1,2019/10/03,Rhino Reforestation Services Inc,Prince George,"$711,361.68",2019/10/15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Tree Planting - Nazko Area,Pl21ZAN004,ITT,2019/09/30,1,2019/10/03,Rhino Reforestation Services Inc,Prince George,"$498,246.96",2019/10/15,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Treated Fence Posts (Burns Lake),ITQ-005993,Itq,2019/10/01,0,2019/10/09,Vermette Trucking & Wood Preservers Ltd.,Spruce Home,"$27,618.75",2019/12/02,Saskatchewan,Canada
Procurement Services Branch,Ministry of Health,IBM Rational Application Maintenance & Support (Victoria),ITQ-005995,Itq,2019/10/01,0,2019/10/10,GlassHouse Systems Inc.,Toronto,"$7,236.03",2019/10/22,Ontario,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Electronic Module Manufacturing and Assembly (Surrey),ITQ-005988,Itq,2019/10/02,1,2019/10/08,Novax Industries Corp,Delta,"$28,812.00",2019/10/22,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Boreal Caribou Monitoring 2020,10883,RFP,2019/10/02,0,2019/10/20,Wildlife Infometrics Inc,Mackenzie,"$178,825.00",2019/11/06,British Columbia,Canada
Ministry of Municipal Affairs and Housing,Ministry of Municipal Affairs and Housing,University Endowment Lands - Area B PRV Works,ITT20-UEL-001,ITT,2019/10/03,0,2019/10/29,Conwest Contracting Ltd.,Vancouver,"$276,990.00",2019/11/05,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Iridium handset & Satellite services (Victoria),ITQ-005996,Itq,2019/10/03,1,2019/10/10,Ralph's Radio Ltd.,Vancouver,"$72,576.00",2019/10/31,British Columbia,Canada
