Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,*** RE-QUOTE *** 20 Foot Lake Boat (Williams Lake),ITQ-006102R,Itq,2020-02-25,2,2020-03-02,Cycle North Enterprises Ltd,Prince George,"$89,969.60",2020-03-06,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,** RE-QUOTE *** Two 18 Foot Lake Boats (Castlegar & Penticton),ITQ-006100R,Itq,2020-02-26,1,2020-03-02,0967977 B.C. Ltd.,Abbotsford,"$126,327.84",2020-03-06,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",3600mm x 31.0 m Embedded CSP (Driftwood FSR),ITQ-006155,Itq,2020-02-24,0,2020-03-03,Atlantic Industries Limited,Armstrong,"$46,886.75",2020-03-09,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replacement of culverts on Dawson Creek in the City of Dawson Cr,35487MJ0000,MOTITT,2020-02-21,4,2020-03-04,Brocor Construction Ltd.,Dawson Creek,"$16,662,348.31",2020-03-10,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Redwood Report2Web License Support Renewal,ITQ-006160,Itq,2020-02-26,0,2020-03-06,Redwood Software Inc,Morrisville,"$25,799.00",2020-03-10,North Carolina,United States
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",JIRA SERVICE DESK ADD-ON TO JIRA CORE FOR 2000 USERS,ITQ-006158,Itq,2020-03-04,4,2020-03-06,Highway Three Solutions (2013) Ltd.,Victoria,"$42,858.90",2020-03-10,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt surfacing of approx. 32 km of H113. ,37720MJ0000,MOTITT,2020-02-20,0,2020-03-05,Peter’s Bros. Construction Ltd.,Penticton,"$3,675,226.00",2020-03-11,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt surfacing of approx. 32 km of H113. ,37720MJ0000,MOTITT,2020-02-20,0,2020-03-05,Peter’s Bros. Construction Ltd.,Penticton,"$3,675,226.00",2020-03-11,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Consulting Services- Climate Risk Assessment,ON-003457,RFP,2020-02-25,3,2020-02-27,Stantec Consulting Ltd,Vancouver,"$53,929.05",2020-03-12,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","SPRING TREE PLANTING – SSS BLOCKS, SELKIRK DISTRICT",PL21DSE001,ITT,2020-02-26,0,2020-03-12,1035449 B.C. Ltd (Beaton Arm Reforestation),Revelstoke,"$53,714.55",2020-03-12,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Jira License Renewals and Plug-ins ,ITQ-006167,Itq,2020-03-05,0,2020-03-11,E-Core It Solutions,White Plains,"$8,755.00",2020-03-12,New York,United States
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Rocket License Support Renewal,ITQ-006162,Itq,2020-02-27,0,2020-03-06,Rocket Software Inc.,Waltham,"$102,119.85",2020-03-13,Massachusetts,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",DOUGLAS-FIR BEETLE FUNNEL TRAPPING – SOUTH ARROW & KOOTENAY LAKE,FH21DSE001,ITT,2020-02-28,0,2020-03-13,Rosanna Maria Wijenberg dba Blue Mule EcoConsult,Ymir,"$24,020.00",2020-03-13,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",UREA AND NITROGEN-SULPHUR FERTILIZERS (VARIOUS LOCATIONS),ITQ-006164,Itq,2020-03-09,1,2020-03-11,Terralink Horticulture Inc,Abbotsford,"$8,320,619.57",2020-03-13,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Provincial Land Survey Roster,8112018,RQU,2018-11-08,0,2018-12-03,McElhanney Associates Land Surveying Ltd.,Vancouver,"$3,200.00",2020-03-16,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Parenting Plus Program,ACCWPAR0124,SRFP,2020-01-24,0,2020-02-21,The Elizabeth Fry Society of Greater Vancouver,New Westminster,"$35,900.00",2020-03-16,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Repair and Resurface Lazo Road, adding 1.5 m Paved Shoulders",16849MJ2020,MOTITT,2020-01-31,0,2020-02-26,O.K. Industries Ltd.,Courtenay,"$691,920.00",2020-03-16,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Repair and Resurface Lazo Road, adding 1.5 m Paved Shoulders",16849MJ2020,MOTITT,2020-01-31,0,2020-02-26,O.K. Industries Ltd.,Courtenay,"$691,920.00",2020-03-16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Planting Implementation and Silvicultural Surveys ,SU21DQU004,ITT,2020-02-10,1,2020-02-18,1193929 BC Ltd.DBA Gentree Consulting,150 Mile House,"$48,220.19",2020-03-16,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Harrison River Bridge Pier 5 Timber Fender Renewal,12330MJ0002,MOTITT,2020-02-21,3,2020-03-05,Online Constructors Ltd.,Abbotsford,"$1,466,261.00",2020-03-16,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Highway 3A and Area Side Roads,25051MJ0000,MOTITT,2020-02-28,2,2020-03-10,Terus Construction Ltd. DBA Selkirk Paving,Crescent Valley,"$6,996,805.93",2020-03-16,British Columbia,Canada
